Timestamp,Label,EXG Channel 0 (Fp1),EXG Channel 1 (Fp2),EXG Channel 2 (C3),EXG Channel 3 (C4),EXG Channel 4 (P7),EXG Channel 5 (P8),EXG Channel 6 (O1),EXG Channel 7 (O2),EXG Channel 8 (F7),EXG Channel 9 (F8),EXG Channel 10 (F3),EXG Channel 11 (F4),EXG Channel 12 (T7),EXG Channel 13 (T8),EXG Channel 14 (P3),EXG Channel 15 (P4)
1679627739.872292,1,-32300.21534,-34747.798413,-61190.180324,-45604.24186,-187500.022352,-32337.319235,-187500.022352,-40894.841062,-35482.410846,-187500.022352,187500.0,-187500.022352,-21016.786518,-48701.232517,-52415.466597,-31006.094039
1679627739.872335,1,-32284.211491,-34728.978244,-61190.157973,-45602.274907,-187500.022352,-32338.436823,-187500.022352,-40897.143292,-35481.762645,-187500.022352,187500.0,-187500.022352,-21030.242268,-48706.999267,-52425.904861,-30975.427446
1679627739.872355,1,-32296.37084,-34740.84702,-61188.638054,-45599.592698,-187500.022352,-32343.39891,-187500.022352,-40896.98683,-35464.574154,-187500.022352,187500.0,-187500.022352,-21022.32975,-48702.774787,-52421.859195,-31016.398193
1679627739.872373,1,-32269.21347,-34719.009366,-61191.588484,-45598.542166,-187500.022352,-32348.13748,-187500.022352,-40898.417342,-35456.460471,-187500.022352,187500.0,-187500.022352,-21026.308361,-48706.261659,-52426.106027,-30988.637327
1679627739.872391,1,-32268.922897,-34721.512761,-61181.351385,-45586.583982,-187500.022352,-32342.996579,-187500.022352,-40895.466911,-35450.649017,-187500.022352,187500.0,-187500.022352,-21022.419157,-48705.255831,-52426.709524,-31000.349641
1679627739.872408,1,-32241.944342,-34699.630403,-61179.429135,-45582.918296,-187500.022352,-32341.186087,-187500.022352,-40890.750693,-35445.798689,-187500.022352,187500.0,-187500.022352,-21017.680587,-48702.014828,-52421.412161,-31008.172751
1679627739.980085,1,-32246.012359,-34698.132837,-61178.222141,-45583.655904,-187500.022352,-32336.112241,-187500.022352,-40886.705027,-35439.92018,-187500.022352,187500.0,-187500.022352,-21011.153878,-48699.757302,-52416.204204,-30974.399266
1679627739.980124,1,-32247.442871,-34698.065781,-61176.076374,-45583.879421,-187500.022352,-32334.771137,-187500.022352,-40887.88967,-35439.786069,-187500.022352,187500.0,-187500.022352,-21011.533858,-48699.489081,-52413.633753,-31013.067783
1679627739.980143,1,-32225.404051,-34678.709171,-61185.218237,-45593.490671,-187500.022352,-32344.315331,-187500.022352,-40899.601984,-35434.265188,-187500.022352,187500.0,-187500.022352,-21018.149974,-48703.244174,-52414.237251,-30976.790902
1679627739.980161,1,-32237.451641,-34689.259194,-61184.815906,-45591.769587,-187500.022352,-32340.113204,-187500.022352,-40898.216176,-35429.124287,-187500.022352,187500.0,-187500.022352,-21002.794326,-48707.826282,-52421.434512,-30998.15917
1679627739.980178,1,-32224.554685,-34676.473996,-61190.806173,-45594.340038,-187500.022352,-32348.293942,-187500.022352,-40903.535891,-35442.892962,-187500.022352,187500.0,-187500.022352,-21011.891486,-48710.307325,-52420.62985,-31013.447763
1679627739.980254,1,-32227.974502,-34681.503139,-61187.095784,-45592.596602,-187500.022352,-32342.348378,-187500.022352,-40895.086932,-35437.819116,-187500.022352,187500.0,-187500.022352,-21012.986721,-48708.720351,-52417.768826,-30983.496426
1679627739.980271,1,-32227.415708,-34690.197967,-61186.872266,-45592.261325,-187500.022352,-32342.236619,-187500.022352,-40900.294888,-35434.66752,-187500.022352,187500.0,-187500.022352,-21008.561076,-48703.06536,-52415.064265,-31018.141629
1679627739.980288,1,-32199.811304,-34657.340903,-61185.441755,-45587.32159,-187500.022352,-32342.817765,-187500.022352,-40905.748714,-35433.527581,-187500.022352,187500.0,-187500.022352,-21018.664064,-48698.19268,-52426.486007,-30986.737429
1679627739.980305,1,-32217.670347,-34672.763607,-61180.993757,-45583.410035,-187500.022352,-32342.795413,-187500.022352,-40904.318202,-35424.698642,-187500.022352,187500.0,-187500.022352,-20996.222913,-48700.025523,-52423.870852,-30997.868597
1679627739.980321,1,-32204.63928,-34656.871516,-61184.815906,-45587.32159,-187500.022352,-32352.518422,-187500.022352,-40905.748714,-35429.683081,-187500.022352,187500.0,-187500.022352,-20999.77684,-48704.451168,-52414.974858,-31010.542036
1679627739.98034,1,-32200.750077,-34647.237914,-61177.551589,-45578.894982,-187500.022352,-32346.34934,-187500.022352,-40903.64765,-35425.771526,-187500.022352,187500.0,-187500.022352,-21004.202486,-48702.014828,-52414.058437,-30981.574176
1679627739.980357,1,-32203.566397,-34654.032845,-61169.616719,-45573.888191,-187500.022352,-32344.650608,-187500.022352,-40901.010144,-35410.281767,-187500.022352,187500.0,-187500.022352,-20999.12864,-48690.436624,-52407.352913,-31021.762612
1679627739.980374,1,-32176.364324,-34634.385661,-61172.969481,-45578.559706,-187500.022352,-32357.949896,-187500.022352,-40912.454237,-35417.50138,-187500.022352,187500.0,-187500.022352,-21007.354082,-48692.470633,-52416.271259,-30990.358411
1679627740.433098,1,-32178.867719,-34634.452717,-61169.594368,-45574.111709,-187500.022352,-32347.310465,-187500.022352,-40907.201577,-35417.948415,-187500.022352,187500.0,-187500.022352,-21001.207352,-48687.329732,-52421.233347,-30999.656737
